user_id,nome,nome,responsavel,documento,telefone,email,cidade,uf,regiao,culturas,cluster,area_total,tipo_solo,praga_comum,safra_principal
user_1,Cooperativa São João da Lima,Cooperativa São João da Lima,Leonardo Lima,154.171.609-44,(15) 65524-5576,cooperativasãojoãodalima@ruraltec.com.br,Cidade SC,SC,Outra,Algodão / Cana-de-Açúcar,SILVER,1800,Argissolo,Cigarrinha / Ferrugem,Nov-Abr
user_10,Sítio Ouro do Rocha,Sítio Ouro do Rocha,Olivia Rocha,929.861.623-60,(89) 67039-6637,sítioourodorocha@fazenda.com.br,Cidade RR,RR,Norte,Algodão / Cana-de-Açúcar,SILVER,2400,Neossolo,Nematoides / Lagarta,Nov-Abr
user_100,Granja Lider da Almeida,Granja Lider da Almeida,Igor Almeida,004.664.849-47,(21) 63928-4713,granjaliderdaalmeida@fazenda.com.br,Cidade RN,RN,Nordeste,Cana-de-Açúcar / Algodão,GOLD,2600,Latossolo Amarelo,Nematoides / Percevejos,Out-Mar
user_101,Chácara Esperança do Souza,Chácara Esperança do Souza,Daniela Souza,556.649.635-30,(48) 35581-2597,chácaraesperançadosouza@agrocorp.com.br,Cidade MG,MG,Outra,Soja,PLATINUM,1200,Latossolo Vermelho,Nematoides / Cigarrinha,Nov-Abr
user_102,Chácara Boa Vista do Costa,Chácara Boa Vista do Costa,Eduardo Costa,233.132.947-39,(60) 69072-1605,chácaraboavistadocosta@ruraltec.com.br,Cidade RS,RS,Outra,Trigo / Cana-de-Açúcar,DIAMOND,3700,Terra Roxa,Percevejos,Nov-Abr
user_103,Sítio Esperança da Cardoso,Sítio Esperança da Cardoso,Júlia Cardoso,231.887.260-19,(16) 49359-1469,sítioesperançadacardoso@fazenda.com.br,Cidade BA,BA,Nordeste,Soja / Cana-de-Açúcar,GOLD,1800,Latossolo Amarelo,Percevejos,Set-Fev
user_104,Chácara Ouro do Costa EIRELI,Chácara Ouro do Costa EIRELI,Renata Costa,815.610.700-49,(25) 37285-4292,chácaraourodocosta@ruraltec.com.br,Cidade PB,PB,Outra,Algodão / Milho,SILVER,1800,Neossolo,Cigarrinha / Ferrugem,Abr-Ago
user_105,Chácara São João do Cardoso Rural,Chácara São João do Cardoso Rural,Igor Cardoso,609.154.394-16,(11) 62068-1031,chácarasãojoãodocardosorural@ruraltec.com.br,Cidade AP,AP,Outra,Café,DIAMOND,2100,Latossolo Amarelo,Ferrugem / Cigarrinha,Abr-Ago
user_106,Cooperativa Esperança do Cardoso,Cooperativa Esperança do Cardoso,Karen Cardoso,893.970.668-62,(28) 87729-6918,cooperativaesperançadocardoso@ruraltec.com.br,Sorriso,GO,Centro-Oeste,Soja / Milho,SILVER,2200,Terra Roxa,Percevejos / Lagarta,Set-Fev
user_107,Cooperativa Ouro do Ribeiro,Cooperativa Ouro do Ribeiro,Bruno Ribeiro,462.761.206-38,(60) 60821-6090,cooperativaourodoribeiro@fazenda.com.br,Cidade PE,PE,Nordeste,Cana-de-Açúcar / Soja,PLATINUM,1100,Terra Roxa,Cigarrinha / Nematoides,Out-Mar
user_108,Cooperativa Ouro do Pereira & Filhos,Cooperativa Ouro do Pereira & Filhos,Daniela Pereira,484.130.349-51,(23) 62023-4076,cooperativaourodopereirafilhos@agrocorp.com.br,Cidade PB,PB,Outra,Trigo,GOLD,2500,Latossolo Amarelo,Lagarta / Cigarrinha,Nov-Abr
user_109,Sítio Esperança da Melo,Sítio Esperança da Melo,Paulo Melo,250.023.058-76,(96) 53026-1149,sítioesperançadamelo@agrocorp.com.br,Cidade BA,BA,Nordeste,Café,SILVER,800,Latossolo Vermelho,Ferrugem / Lagarta,Set-Fev
user_11,Fazenda Horizonte da Oliveira,Fazenda Horizonte da Oliveira,Helena Oliveira,260.292.753-78,(89) 22084-9805,fazendahorizontedaoliveira@ruraltec.com.br,Cidade TO,TO,Outra,Algodão,PLATINUM,1500,Argissolo,Percevejos / Cigarrinha,Abr-Ago
user_110,Agropecuária Boa Vista da Rocha,Agropecuária Boa Vista da Rocha,Vinicius Rocha,942.237.261-84,(82) 27339-1547,agropecuáriaboavistadarocha@ruraltec.com.br,Cidade ES,ES,Outra,Café,SILVER,2400,Argissolo,Ferrugem,Set-Fev
user_111,Chácara Verde da Silva Rural,Chácara Verde da Silva Rural,Daniela Silva,982.074.646-59,(23) 53696-9916,chácaraverdedasilvarural@agrocorp.com.br,Cidade SP,SP,Sudeste,Trigo / Soja,SILVER,500,Latossolo Amarelo,Lagarta,Abr-Ago
user_112,Granja Progresso do Gomes,Granja Progresso do Gomes,Mariana Gomes,344.995.105-53,(38) 69312-4431,granjaprogressodogomes@agrocorp.com.br,Cidade PR,PR,Sul,Soja / Milho,PLATINUM,2300,Latossolo Amarelo,Percevejos / Lagarta,Nov-Abr
user_113,Fazenda Boa Vista do Lima,Fazenda Boa Vista do Lima,Vinicius Lima,791.883.738-93,(50) 13501-3742,fazendaboavistadolima@agrocorp.com.br,Cidade AL,AL,Outra,Algodão,PLATINUM,700,Latossolo Vermelho,Lagarta / Ferrugem,Abr-Ago
user_114,Fazenda Lider da Nascimento,Fazenda Lider da Nascimento,Igor Nascimento,608.952.827-30,(73) 67268-0459,fazendaliderdanascimento@ruraltec.com.br,Cidade PI,PI,Nordeste,Milho / Soja,GOLD,2500,Latossolo Amarelo,Nematoides / Ferrugem,Out-Mar
user_115,Cooperativa Boa Vista da Melo,Cooperativa Boa Vista da Melo,Olivia Melo,582.272.346-96,(65) 43663-6650,cooperativaboavistadamelo@fazenda.com.br,Cidade MA,MA,Outra,Milho / Trigo,SILVER,1200,Neossolo,Lagarta / Ferrugem,Set-Fev
user_116,Cooperativa Esperança da Costa,Cooperativa Esperança da Costa,Helena Costa,071.884.667-30,(74) 56734-0551,cooperativaesperançadacosta@fazenda.com.br,Cidade PR,PR,Sul,Café,SILVER,1300,Latossolo Vermelho,Cigarrinha / Percevejos,Set-Fev
user_117,Agropecuária Boa Vista da Costa,Agropecuária Boa Vista da Costa,Yasmin Costa,525.076.628-36,(62) 98535-5205,agropecuáriaboavistadacosta@ruraltec.com.br,Cidade ES,ES,Outra,Soja,DIAMOND,1600,Terra Roxa,Lagarta,Nov-Abr
user_118,Cooperativa Esperança da Gomes LTDA,Cooperativa Esperança da Gomes LTDA,Rafael Gomes,563.321.615-83,(52) 81189-5222,cooperativaesperançadagomes@fazenda.com.br,Cidade PA,PA,Norte,Soja / Milho,GOLD,2500,Latossolo Vermelho,Percevejos,Out-Mar
user_119,Agropecuária Ouro do Ribeiro,Agropecuária Ouro do Ribeiro,Igor Ribeiro,100.257.197-62,(38) 69043-8692,agropecuáriaourodoribeiro@ruraltec.com.br,Cidade AL,AL,Outra,Cana-de-Açúcar,DIAMOND,3400,Neossolo,Lagarta / Percevejos,Nov-Abr
user_12,Cooperativa Boa Vista do Souza,Cooperativa Boa Vista do Souza,Daniela Souza,636.542.990-90,(29) 35465-3699,cooperativaboavistadosouza@fazenda.com.br,Lucas do Rio Verde,MT,Centro-Oeste,Trigo,SILVER,1200,Argissolo,Lagarta,Nov-Abr
user_120,Sítio São João do Souza,Sítio São João do Souza,Daniela Souza,851.069.908-06,(47) 71896-2780,sítiosãojoãodosouza@ruraltec.com.br,Cidade BA,BA,Nordeste,Algodão,GOLD,1200,Terra Roxa,Nematoides,Abr-Ago
user_121,Cooperativa Ouro do Ferreira,Cooperativa Ouro do Ferreira,Tatiana Ferreira,991.156.405-00,(18) 77284-0268,cooperativaourodoferreira@ruraltec.com.br,Cidade RR,RR,Norte,Algodão,DIAMOND,2900,Latossolo Vermelho,Lagarta / Ferrugem,Set-Fev
user_122,Sítio Horizonte da Gomes,Sítio Horizonte da Gomes,Nicolas Gomes,517.115.754-10,(74) 90575-9750,sítiohorizontedagomes@fazenda.com.br,Cidade PB,PB,Outra,Milho / Café,DIAMOND,1000,Terra Roxa,Percevejos / Ferrugem,Out-Mar
user_123,Fazenda Progresso da Ribeiro,Fazenda Progresso da Ribeiro,Carlos Ribeiro,002.897.843-48,(86) 87165-6803,fazendaprogressodaribeiro@ruraltec.com.br,Cidade RO,RO,Outra,Soja,DIAMOND,2100,Neossolo,Lagarta / Ferrugem,Out-Mar
user_124,Sítio Esperança do Souza,Sítio Esperança do Souza,Clara Souza,452.381.560-95,(33) 97359-9068,sítioesperançadosouza@ruraltec.com.br,Cidade RJ,RJ,Outra,Cana-de-Açúcar / Milho,PLATINUM,2300,Argissolo,Lagarta,Set-Fev
user_125,Agropecuária Boa Vista do Cardoso,Agropecuária Boa Vista do Cardoso,Vinicius Cardoso,821.170.958-70,(61) 24344-4156,agropecuáriaboavistadocardoso@agrocorp.com.br,Cidade PR,PR,Sul,Cana-de-Açúcar / Milho,SILVER,2000,Latossolo Vermelho,Lagarta / Nematoides,Nov-Abr
user_126,Chácara Boa Vista do Rocha,Chácara Boa Vista do Rocha,Tatiana Rocha,242.043.586-54,(12) 66647-1670,chácaraboavistadorocha@fazenda.com.br,Cidade RR,RR,Norte,Algodão,DIAMOND,3400,Neossolo,Nematoides,Nov-Abr
